TotRmsAbvGrd,OpenPorchSF,MasVnrArea,PoolArea,MiscVal,OverallQual,1stFlrSF,ScreenPorch,HalfBath,KitchenAbvGr,LotArea,GrLivArea,YearBuilt,2ndFlrSF,OverallCond,BsmtFinSF1,FullBath,Fireplaces,TotalBsmtSF,EnclosedPorch,LotFrontage,BsmtHalfBath,BsmtUnfSF,BsmtFinSF2,YrSold,LowQualFinSF,GarageYrBlt,MoSold,GarageCars,YearRemodAdd,BsmtFullBath,BedroomAbvGr,3SsnPorch,WoodDeckSF,GarageArea,LotShape,Utilities,LandSlope,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MSSubClass_1,MSSubClass_2,MSSubClass_3,MSSubClass_4,MSZoning_1,MSZoning_2,MSZoning_3,Street_1,Alley_1,Alley_2,LandContour_1,LandContour_2,LotConfig_1,LotConfig_2,LotConfig_3,Neighborhood_1,Neighborhood_2,Neighborhood_3,Neighborhood_4,Neighborhood_5,Condition1_1,Condition1_2,Condition1_3,Condition1_4,Condition2_1,Condition2_2,Condition2_3,BldgType_1,BldgType_2,BldgType_3,HouseStyle_1,HouseStyle_2,HouseStyle_3,RoofStyle_1,RoofStyle_2,RoofStyle_3,RoofMatl_1,RoofMatl_2,RoofMatl_3,Exterior1st_1,Exterior1st_2,Exterior1st_3,Exterior1st_4,Exterior2nd_1,Exterior2nd_2,Exterior2nd_3,Exterior2nd_4,MasVnrType_1,MasVnrType_2,MasVnrType_3,Foundation_1,Foundation_2,Foundation_3,Heating_1,Heating_2,Heating_3,CentralAir_1,Electrical_1,Electrical_2,Electrical_3,GarageType_1,GarageType_2,GarageType_3,MiscFeature_1,MiscFeature_2,MiscFeature_3,SaleType_1,SaleType_2,SaleType_3,SaleType_4,SaleCondition_1,SaleCondition_2,SaleCondition_3,SalePrice
5,0,0.0,0,0,5,1040,0,0,1,11200,1040,1965,0,5,906,1,0,1040,0,70.0,0,134,0,2008,0,1965.0,2,1,1965,1,3,0,0,384,3,3,0,2,2,3,3,1,3,1,4,2,7,0,1,3,3,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,129500
11,21,286.0,0,0,9,1182,0,0,1,11924,2324,2005,1142,5,998,3,2,1175,0,85.0,0,177,0,2006,0,2005.0,7,3,2006,1,4,0,147,736,2,3,0,4,2,5,3,1,6,1,4,4,7,4,3,3,3,2,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,345000
4,0,0.0,0,0,5,912,176,0,1,12968,912,1962,0,6,737,1,0,912,0,,0,175,0,2008,0,1962.0,9,1,1962,1,2,0,140,352,1,3,0,2,2,3,3,1,5,1,2,2,7,0,1,3,3,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,144000
7,33,306.0,0,0,7,1494,0,0,1,10652,1494,2006,0,5,0,2,1,1494,0,91.0,0,1494,0,2007,0,2006.0,8,3,2007,0,3,0,160,840,2,3,0,3,2,4,3,3,1,1,4,3,7,4,2,3,3,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,279500
5,213,212.0,0,0,6,1253,0,1,1,10920,1253,1960,0,5,733,1,1,1253,176,,0,520,0,2008,0,1960.0,5,1,1960,1,2,0,0,352,2,3,0,2,2,3,3,1,4,1,2,2,7,2,2,3,3,2,0,2,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,157000
5,112,0.0,0,0,7,854,0,0,1,6120,854,1929,0,8,0,1,0,832,0,51.0,0,832,0,2007,0,1991.0,7,2,2001,0,2,0,48,576,3,3,0,2,2,3,3,1,1,1,4,2,7,0,1,3,3,2,0,4,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,132000
5,0,180.0,0,700,6,1004,0,0,1,11241,1004,1970,0,7,578,1,1,1004,0,,0,426,0,2010,0,1970.0,3,2,1970,1,2,0,0,480,2,3,0,2,2,3,3,1,5,1,4,2,7,3,3,3,3,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,149000
6,0,0.0,0,500,4,1296,0,0,2,10791,1296,1967,0,5,0,2,0,0,0,72.0,0,0,0,2006,0,1967.0,10,2,1967,0,2,0,0,516,3,3,0,2,2,0,0,0,0,0,2,2,7,0,1,3,3,2,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,90000
6,102,0.0,0,0,5,1114,0,1,1,13695,1114,2004,0,5,646,1,0,1114,0,66.0,0,468,0,2008,0,2004.0,6,2,2004,1,3,0,0,576,3,3,0,2,2,3,3,1,6,1,4,3,7,0,1,3,3,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,159000
6,0,0.0,0,0,5,1339,0,0,1,7560,1339,1958,0,6,504,1,0,1029,0,70.0,0,525,0,2009,0,1958.0,5,1,1965,0,3,0,0,294,3,3,0,2,2,3,3,1,2,1,2,2,6,0,1,3,3,2,0,3,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,139000
9,154,380.0,0,0,8,1158,0,1,1,14215,2376,2005,1218,5,0,3,1,1158,0,101.0,0,1158,0,2006,0,2005.0,11,3,2006,0,4,0,240,853,2,3,0,3,2,5,3,3,1,1,4,3,7,4,2,3,3,2,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,325300
6,0,0.0,0,0,7,1108,0,0,1,7449,1108,1930,0,7,0,1,1,637,205,57.0,0,637,0,2007,0,1930.0,6,1,1950,0,3,0,0,280,3,3,0,2,2,3,3,1,1,1,4,3,7,4,1,3,3,0,0,4,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,139400
7,159,281.0,0,0,8,1795,0,0,1,9742,1795,2002,0,5,0,2,1,1777,0,75.0,0,1777,0,2008,0,2002.0,9,2,2002,0,3,0,171,534,3,3,0,3,2,4,3,1,1,1,4,3,7,4,2,3,3,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,230000
6,110,0.0,0,0,5,1060,0,0,1,4224,1060,1976,0,7,840,1,1,1040,0,44.0,0,200,0,2007,0,1976.0,6,2,1976,1,3,0,100,572,3,3,0,2,2,4,3,1,6,1,2,2,7,3,1,3,3,2,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,129900
6,90,0.0,0,0,5,1060,0,0,1,8246,1060,1968,0,8,188,1,1,1060,0,,0,204,668,2010,0,1968.0,5,1,2001,1,3,0,406,270,2,3,0,2,3,3,3,2,3,5,4,3,7,3,1,3,3,2,0,3,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,154000
7,56,640.0,0,0,8,1600,0,0,1,14230,1600,2007,0,5,0,2,1,1566,0,110.0,0,1566,0,2009,0,2007.0,7,3,2007,0,3,0,0,890,3,3,0,3,2,4,3,1,1,1,4,3,7,4,2,3,3,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,256300
5,32,0.0,0,0,5,900,0,0,1,7200,900,1951,0,7,234,1,0,900,0,60.0,1,180,486,2010,0,2005.0,5,2,2000,0,3,0,222,576,3,3,0,2,2,3,3,2,4,3,2,3,7,0,1,3,3,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,134800
7,50,200.0,0,0,8,1704,0,0,1,11478,1704,2007,0,5,1218,2,1,1704,0,98.0,0,486,0,2010,0,2008.0,5,3,2008,1,3,0,0,772,3,3,0,3,2,5,3,1,6,1,4,3,7,4,2,3,3,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,306000
6,258,0.0,0,0,5,1600,0,0,1,16321,1600,1957,0,6,1277,1,2,1484,0,47.0,0,207,0,2006,0,1957.0,12,1,1997,1,2,0,288,319,2,3,0,2,2,3,3,4,4,1,2,2,7,4,2,3,3,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,207500
4,0,0.0,0,0,4,520,0,0,1,6324,520,1927,0,6,0,1,0,520,87,60.0,0,520,0,2008,0,1920.0,5,1,1950,0,1,0,49,240,2,3,0,2,2,3,3,1,1,1,1,1,7,0,1,2,3,2,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,68500
6,54,0.0,0,0,4,649,0,0,1,8500,1317,1920,668,4,0,1,0,649,172,50.0,0,649,0,2008,0,1920.0,7,1,1950,0,3,0,0,250,3,3,0,2,1,3,3,1,1,1,2,2,7,0,1,3,2,0,0,3,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,40000
6,65,0.0,0,0,5,1228,0,1,1,8544,1228,1966,0,6,0,1,0,1228,0,,0,1228,0,2008,0,1966.0,6,1,2006,0,3,0,0,271,2,3,0,2,2,3,3,1,1,1,3,3,7,0,1,3,3,2,0,3,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,149350
7,30,0.0,0,0,8,1234,0,0,1,11049,1234,2007,0,5,0,2,0,1234,0,85.0,0,1234,0,2008,0,2007.0,1,2,2007,0,3,0,0,484,3,3,0,3,2,5,3,3,1,1,4,3,7,0,2,3,3,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,179900
6,38,0.0,0,0,5,1700,0,1,1,10552,1700,1959,0,5,1018,1,1,1398,0,70.0,1,380,0,2010,0,1959.0,4,2,1959,0,4,0,0,447,2,3,0,2,2,3,3,1,3,1,3,3,7,4,2,3,3,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,165500
6,47,246.0,0,0,9,1561,0,0,1,7313,1561,2005,0,5,1153,2,1,1561,0,60.0,0,408,0,2007,0,2005.0,8,2,2005,1,2,0,203,556,3,3,0,4,2,5,3,1,6,1,4,4,7,4,3,3,3,2,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,277500
9,32,132.0,0,0,8,1132,0,1,1,13418,2452,2004,1320,5,0,3,1,1117,0,108.0,0,1117,0,2006,0,2004.0,9,3,2005,0,4,0,113,691,3,3,0,3,2,5,3,3,1,1,4,3,7,4,3,3,3,2,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,309000
6,64,0.0,0,0,5,1097,0,1,1,10859,1097,1994,0,5,0,1,0,1097,0,112.0,0,1097,0,2009,0,1995.0,6,2,1995,0,3,0,392,672,3,3,0,2,2,4,3,1,1,1,4,2,7,0,1,3,3,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,145000
5,0,650.0,0,0,5,1297,0,0,1,8532,1297,1954,0,6,1213,1,1,1297,0,74.0,1,84,0,2009,0,1954.0,10,2,1990,0,3,0,0,498,3,3,0,2,2,3,3,1,3,1,3,2,7,3,3,3,3,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,153000
5,52,0.0,0,0,5,1057,0,0,1,7922,1057,1953,0,7,731,1,0,1057,0,68.0,0,326,0,2010,0,1953.0,1,1,2007,1,3,0,0,246,3,3,0,2,3,3,3,1,6,1,2,3,7,0,1,3,3,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,109000
6,0,0.0,0,0,4,1152,0,0,2,6040,1152,1955,0,5,0,2,0,0,0,65.0,0,0,0,2008,0,,6,0,1955,0,2,0,0,0,3,3,0,2,2,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,82000
6,138,101.0,0,0,6,1324,0,0,1,8658,1324,1965,0,5,643,2,1,1088,0,84.0,0,445,0,2006,0,1965.0,12,2,1965,0,3,0,0,440,3,3,0,2,2,3,3,1,3,1,4,2,7,3,2,3,3,2,0,2,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,160000
5,104,0.0,0,0,5,1328,0,1,1,16905,1328,1959,0,6,967,1,2,1350,0,115.0,1,383,0,2007,0,1959.0,7,1,1959,0,2,0,0,308,3,3,0,2,3,3,3,4,4,1,3,2,7,4,2,3,3,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,170000
5,0,0.0,0,0,5,884,0,0,1,9180,884,1983,0,7,747,1,0,840,0,,0,0,93,2007,0,1983.0,12,2,1983,1,2,0,240,504,2,3,0,2,2,4,3,3,5,2,3,3,7,0,2,3,4,2,0,3,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,144000
5,0,0.0,0,0,5,938,0,0,1,9200,938,1975,0,6,280,1,0,938,0,,0,167,491,2008,0,1977.0,7,1,1980,1,3,0,145,308,2,3,0,2,2,4,3,3,2,4,2,2,7,0,1,3,3,2,0,3,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,130250
